Datum, Počet přihlášených
2024-09-01 10:00,36
2024-09-01 10:00,53
2024-09-01 11:00,62
2024-09-01 12:00,73
2024-09-01 13:00,80
2024-09-01 14:00,87
2024-09-01 15:00,102
2024-09-01 16:00,114
2024-09-01 17:00,121
2024-09-01 18:00,134
2024-09-01 19:00,145
2024-09-01 20:00,159
2024-09-01 21:00,172
2024-09-01 22:00,176
2024-09-01 23:00,177
2024-09-02 00:00,177
2024-09-02 01:00,177
2024-09-02 02:00,177
2024-09-02 03:00,181
2024-09-02 04:00,182
2024-09-02 05:00,182
2024-09-02 06:00,188
2024-09-02 07:00,195
2024-09-02 08:00,209
2024-09-02 09:00,238
2024-09-02 10:00,253
2024-09-02 11:00,278
2024-09-02 12:00,303
2024-09-02 13:00,320
2024-09-02 14:00,340
2024-09-02 15:00,354
2024-09-02 16:00,372
2024-09-02 17:00,398
2024-09-02 18:00,433
2024-09-02 19:00,468
2024-09-02 20:00,491
2024-09-02 21:00,499
2024-09-02 22:00,514
2024-09-02 23:00,515
2024-09-03 00:00,516
2024-09-03 01:00,516
2024-09-03 02:00,516
2024-09-03 03:00,517
2024-09-03 04:00,519
2024-09-03 05:00,520
2024-09-03 06:00,522
2024-09-03 07:00,627
2024-09-03 08:00,753
2024-09-03 09:00,1011
2024-09-03 10:00,1119
2024-09-03 11:00,1244
2024-09-03 12:00,1313
2024-09-03 13:00,1421
2024-09-03 14:00,1453
2024-09-03 15:00,1488
2024-09-03 16:00,1522
2024-09-03 17:00,1543
2024-09-03 18:00,1563
2024-09-03 19:00,1597
2024-09-03 20:00,1627
2024-09-03 21:00,1635
2024-09-03 22:00,1642
2024-09-03 23:00,1642
2024-09-04 00:00,1642
2024-09-04 01:00,1642
2024-09-04 02:00,1642
2024-09-04 03:00,1642
2024-09-04 04:00,1642
2024-09-04 05:00,1646
2024-09-04 06:00,1658
2024-09-04 07:00,1788
2024-09-04 08:00,2019
2024-09-04 09:00,2192
2024-09-04 10:00,2414
2024-09-04 11:00,2618
2024-09-04 12:00,2747
2024-09-04 13:00,2885
2024-09-04 14:00,2996
2024-09-04 15:00,3079
2024-09-04 16:00,3155
2024-09-04 17:00,3216
2024-09-04 18:00,3289
2024-09-04 19:00,3405
2024-09-04 20:00,3494
2024-09-04 21:00,3529
2024-09-04 22:00,3548
2024-09-04 23:00,3552
2024-09-05 00:00,3553
2024-09-05 01:00,3554
2024-09-05 02:00,3553
2024-09-05 03:00,3554
2024-09-05 04:00,3554
2024-09-05 05:00,3571
2024-09-05 06:00,3634
2024-09-05 07:00,3854
2024-09-05 08:00,4112
2024-09-05 09:00,4428
2024-09-05 10:00,4772
2024-09-05 11:00,5026
2024-09-05 12:00,5237
2024-09-05 13:00,5355
2024-09-05 14:00,5418
2024-09-05 15:00,5526
2024-09-05 16:00,5615
2024-09-05 17:00,5703
2024-09-05 18:00,5804
2024-09-05 19:00,5896
2024-09-05 20:00,5973
2024-09-05 21:00,6005
2024-09-05 22:00,6018
2024-09-05 23:00,6021
2024-09-06 00:00,6022
2024-09-06 01:00,6023
2024-09-06 02:00,6024
2024-09-06 03:00,6024
2024-09-06 04:00,6026
2024-09-06 05:00,6039
2024-09-06 06:00,6117
2024-09-06 07:00,6460
2024-09-06 08:00,6852
2024-09-06 09:00,7146
2024-09-06 10:00,7327
2024-09-06 11:00,7589
2024-09-06 12:00,7761
2024-09-06 13:00,7832
2024-09-06 14:00,7890
2024-09-06 15:00,7942
2024-09-06 16:00,7984
2024-09-06 17:00,8021
2024-09-06 18:00,8062
2024-09-06 19:00,8106
2024-09-06 20:00,8137
2024-09-06 21:00,8162
2024-09-06 22:00,8165
2024-09-06 23:00,8167
2024-09-07 00:00,8168
2024-09-07 01:00,8167
2024-09-07 02:00,8167
2024-09-07 03:00,8167
2024-09-07 04:00,8167
2024-09-07 05:00,8173
2024-09-07 06:00,8183
2024-09-07 07:00,8199
2024-09-07 08:00,8225
2024-09-07 09:00,8269
2024-09-07 10:00,8306
2024-09-07 11:00,8339
2024-09-07 12:00,8371
2024-09-07 13:00,8396
2024-09-07 14:00,8418
2024-09-07 15:00,8433
2024-09-07 16:00,8456
2024-09-07 17:00,8482
2024-09-07 18:00,8498
2024-09-07 19:00,8517
2024-09-07 20:00,8541
2024-09-07 21:00,8552
2024-09-07 22:00,8563
2024-09-07 23:00,8568
2024-09-08 00:00,8569
2024-09-08 01:00,8569
2024-09-08 02:00,8569
2024-09-08 03:00,8569
2024-09-08 04:00,8569
2024-09-08 05:00,8573
2024-09-08 06:00,8586
2024-09-08 07:00,8604
2024-09-08 08:00,8633
2024-09-08 09:00,8678
2024-09-08 10:00,8717
2024-09-08 11:00,8768
2024-09-08 12:00,8810
2024-09-08 13:00,8856
2024-09-08 14:00,8909
2024-09-08 15:00,8945
2024-09-08 16:00,9015
2024-09-08 17:00,9092
2024-09-08 18:00,9196
2024-09-08 19:00,9311
2024-09-08 20:00,9392
2024-09-08 21:00,9435
2024-09-08 22:00,9440
2024-09-08 23:00,9440
2024-09-09 00:00,9441
2024-09-09 01:00,9442
2024-09-09 02:00,9443
2024-09-09 03:00,9443
2024-09-09 04:00,9444
2024-09-09 05:00,9466
2024-09-09 06:00,9511
2024-09-09 07:00,9761
2024-09-09 08:00,10138
2024-09-09 09:00,10530
2024-09-09 10:00,10879
2024-09-09 11:00,11263
2024-09-09 12:00,11605
2024-09-09 13:00,11993
2024-09-09 14:00,12186
2024-09-09 15:00,12307
2024-09-09 16:00,12465
2024-09-09 17:00,12605
2024-09-09 18:00,12785
2024-09-09 19:00,12953
2024-09-09 20:00,13075
2024-09-09 21:00,13137
2024-09-09 22:00,13159
